Generation;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo
14100;0,7069;0,605018;0,0151759;0,995437;0,00759206;0,6286;0,624203;0,0184557;0,991522;0,00982466;0,6443;0,651202;0,0243815;0,993034;0,00922668
14200;0,7348;0,605703;0,0193575;0,992717;0,00736988;0,7141;0,622061;0,0213239;0,993683;0,00805984;0,6904;0,651283;0,0213495;0,994551;0,00808124
14300;0,7338;0,606951;0,0230311;0,99376;0,00650588;0,6419;0,609738;0,0267419;0,994146;0,00846058;0,6442;0,654644;0,0231512;0,992274;0,00880896
14400;0,6613;0,608346;0,0299974;0,993456;0,00655492;0,6594;0,607224;0,0291136;0,99388;0,00625855;0,6267;0,655869;0,0250191;0,991738;0,00953454
14500;0,6625;0,594189;0,0271592;0,993485;0,00675924;0,6674;0,58632;0,016663;0,989925;0,00910231;0,6433;0,658489;0,0246392;0,994071;0,00591878
14600;0,6128;0,599363;0,022968;0,992509;0,00781477;0,6874;0,589269;0,0233474;0,989189;0,0103691;0,6247;0,647507;0,0215343;0,994434;0,00538017
14700;0,6838;0,607071;0,0278589;0,988804;0,0101584;0,6691;0,602385;0,0322626;0,991638;0,00928775;0,6563;0,64492;0,0193283;0,994112;0,00666919
14800;0,6444;0,599139;0,0310882;0,988725;0,0143492;0,6665;0,600329;0,0351615;0,985161;0,0132997;0,6806;0,634085;0,034295;0,992489;0,0055994
14900;0,695;0,606484;0,0374627;0,986895;0,0133791;0,6983;0,612879;0,033241;0,990562;0,00855691;0,679;0,610259;0,0377889;0,990821;0,00688128
15000;0,6836;0,610027;0,0356927;0,992562;0,0118464;0,7079;0,591357;0,0378366;0,989233;0,010288;0,7087;0,601949;0,0365159;0,989945;0,010895
15100;0,7079;0,626938;0,0328648;0,99434;0,00776756;0,6717;0,585099;0,04877;0,99046;0,0110513;0,6726;0,605927;0,041888;0,993358;0,00816099
15200;0,6569;0,637135;0,0250342;0,994259;0,00840258;0,7103;0,581827;0,0357606;0,992858;0,00827217;0,6522;0,615298;0,0483083;0,991468;0,0102294
15300;0,6463;0,635664;0,0269497;0,993516;0,00916579;0,6711;0,587264;0,0317308;0,996569;0,00668318;0,6578;0,625054;0,0443977;0,993888;0,00733621
